City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
206,Jumla,NP,2021-04-17 20:39:43,29.2747,82.1838,38.84,88,38,6.08
207,Meulaboh,ID,2021-04-17 20:39:44,4.1363,96.1285,76.8,86,93,3.0
208,Kaitangata,NZ,2021-04-17 20:39:44,-46.2817,169.8464,51.01,75,100,3.0
209,Swan River,CA,2021-04-17 20:39:44,52.1058,-101.2676,55.4,26,100,5.75
210,Diego De Almagro,CL,2021-04-17 20:39:45,-26.3667,-70.05,74.43,31,0,10.38
211,Sobolevo,RU,2021-04-17 20:39:45,54.4299,31.8996,50.65,82,100,14.16
212,Fushun,CN,2021-04-17 20:39:45,41.8558,123.9233,30.2,100,0,2.24
213,Marsa Matruh,EG,2021-04-17 20:39:46,31.3525,27.2453,75.2,43,0,9.22
214,Gouyave,GD,2021-04-17 20:39:46,12.1646,-61.7296,86.0,66,20,23.02
215,Staryy Nadym,RU,2021-04-17 20:39:46,65.6118,72.6842,-8.23,98,30,9.24
216,Buguda,IN,2021-04-17 20:39:47,19.8167,84.8,78.21,79,0,2.48
217,Wanxian,CN,2021-04-17 20:39:47,30.8039,108.3897,62.8,74,100,2.33
218,Kiama,AU,2021-04-17 20:39:47,-34.6833,150.8667,55.0,87,16,1.01
219,Aklavik,CA,2021-04-17 20:39:48,68.2191,-135.0107,44.6,42,20,4.61
220,Sitka,US,2021-04-17 20:39:48,57.0531,-135.33,53.6,54,40,0.94
221,Camacha,PT,2021-04-17 20:39:48,33.0833,-16.3333,62.6,67,20,12.66
222,Vrangel,RU,2021-04-17 20:39:49,42.7297,133.0839,40.84,63,88,7.65
223,Mahebourg,MU,2021-04-17 20:39:49,-20.4081,57.7,77.0,88,75,6.91
224,Nome,US,2021-04-17 20:39:49,64.5011,-165.4064,32.0,93,90,8.05
225,San Patricio,US,2021-04-17 20:39:49,28.017,-97.5169,62.01,77,90,16.11
226,Brownsville,US,2021-04-17 20:39:50,25.9018,-97.4975,60.8,88,90,13.8
227,Houma,US,2021-04-17 20:39:50,29.5958,-90.7195,64.99,100,90,10.36
228,Tongliao,CN,2021-04-17 20:39:50,43.6125,122.2653,36.45,55,0,6.62
229,Nishihara,JP,2021-04-17 20:39:51,26.1842,127.7558,66.2,67,40,13.8
230,Ulladulla,AU,2021-04-17 20:39:51,-35.35,150.4667,54.0,100,90,8.05
231,San Rafael,AR,2021-04-17 20:39:51,-34.6177,-68.3301,74.57,49,100,4.36
232,Naze,JP,2021-04-17 20:39:52,28.3667,129.4833,58.62,56,77,19.3
233,Port Hardy,CA,2021-04-17 20:39:52,50.6996,-127.4199,59.0,55,1,4.61
234,Inuvik,CA,2021-04-17 20:39:52,68.3499,-133.7218,44.6,45,75,6.91
235,Klaksvik,FO,2021-04-17 20:39:52,62.2266,-6.589,46.4,76,100,24.16
236,Labuhan,ID,2021-04-17 20:39:53,-6.8844,112.2051,76.66,88,81,6.04
237,Fortuna,US,2021-04-17 20:38:08,40.5982,-124.1573,55.99,82,20,14.97
238,Narsaq,GL,2021-04-17 20:39:53,60.9167,-46.05,28.4,31,1,10.36
239,Caala,AO,2021-04-17 20:39:53,-12.8525,15.5606,62.85,70,51,1.28
240,Poroina Mare,RO,2021-04-17 20:39:54,44.4953,22.9364,42.78,87,100,11.23
241,Souillac,MU,2021-04-17 20:39:16,-20.5167,57.5167,77.0,88,75,6.91
242,Omboue,GA,2021-04-17 20:39:54,-1.5746,9.2618,79.16,88,100,6.76
243,Cananea,MX,2021-04-17 20:39:54,30.95,-110.3,73.99,10,0,3.0
244,Batyrevo,RU,2021-04-17 20:35:19,55.0675,47.6111,43.52,69,2,10.49
245,Mayskiy,RU,2021-04-17 20:39:55,47.6931,40.1025,44.6,76,0,6.71
246,Cienaga,CO,2021-04-17 20:39:23,11.007,-74.2476,87.8,66,40,10.36
247,Iqaluit,CA,2021-04-17 20:39:55,63.7506,-68.5145,19.4,58,20,4.61
248,Fernley,US,2021-04-17 20:36:39,39.608,-119.2518,64.0,14,0,8.99
249,Mae Hong Son,TH,2021-04-17 20:39:56,19.3003,97.9685,69.75,97,13,1.43
250,Partizanskoye,RU,2021-04-17 20:39:56,55.5006,94.39,12.72,92,12,4.7
251,Kiruna,SE,2021-04-17 20:39:56,67.8557,20.2251,28.4,80,29,3.44
252,San Cristobal,VE,2021-04-17 20:39:34,7.7669,-72.225,91.4,43,40,6.91
253,Sao Filipe,CV,2021-04-17 20:39:57,14.8961,-24.4956,72.73,70,0,12.19
254,Geraldton,AU,2021-04-17 20:39:57,-28.7667,114.6,64.4,45,61,2.3
255,Spring Hill,US,2021-04-17 20:39:57,28.4769,-82.5255,82.99,61,75,17.27
256,Ribeira Grande,PT,2021-04-17 20:39:58,38.5167,-28.7,64.4,94,20,10.36
257,Mollendo,PE,2021-04-17 20:39:58,-17.0231,-72.0147,69.57,77,43,7.83
258,Tuatapere,NZ,2021-04-17 20:39:58,-46.1333,167.6833,53.01,86,95,11.01
259,Altoona,US,2021-04-17 20:37:54,40.5187,-78.3947,46.99,76,100,7.43
260,Bavly,RU,2021-04-17 20:39:59,54.393,53.2602,42.15,61,0,6.8
261,Ancud,CL,2021-04-17 20:39:59,-41.8697,-73.8203,59.0,77,75,6.91
262,Rabat,MA,2021-04-17 20:39:40,33.9911,-6.8401,64.0,94,20,5.75
263,Tessalit,ML,2021-04-17 20:40:00,20.1986,1.0114,87.3,16,82,16.37
264,Puerto Suarez,BO,2021-04-17 20:40:00,-18.95,-57.8,86.0,66,40,4.61
265,Reconquista,AR,2021-04-17 20:40:00,-29.15,-59.65,76.91,70,33,6.69
266,Saint George,US,2021-04-17 20:40:00,37.1041,-113.5841,66.0,25,40,11.5
267,Tabou,CI,2021-04-17 20:40:01,4.423,-7.3528,78.42,85,100,6.35
268,Lavello,IT,2021-04-17 20:40:01,41.0456,15.7908,50.0,44,40,10.36
269,Manoel Urbano,BR,2021-04-17 20:40:01,-8.8389,-69.2597,81.64,76,100,3.47
270,Chuy,UY,2021-04-17 20:39:58,-33.6971,-53.4616,65.59,86,3,6.35
271,Myitkyina,MM,2021-04-17 20:40:03,25.3833,97.4,66.43,90,47,2.17
272,Sistranda,NO,2021-04-17 20:40:04,63.7256,8.834,42.8,65,0,3.44
273,Namibe,AO,2021-04-17 20:37:59,-15.1961,12.1522,81.27,71,0,6.44
274,Los Llanos De Aridane,ES,2021-04-17 20:36:26,28.6585,-17.9182,68.0,68,75,14.97
275,Georgetown,MY,2021-04-17 20:38:51,5.4112,100.3354,81.0,89,20,5.75
276,Conway,US,2021-04-17 20:40:04,35.0887,-92.4421,59.0,67,90,10.36
277,Yarkovo,RU,2021-04-17 20:40:05,57.4028,67.0786,38.21,69,100,6.13
278,Harsud,IN,2021-04-17 20:40:05,22.1,76.7333,87.1,21,1,6.11
279,Lake Saint Louis,US,2021-04-17 20:40:05,38.7976,-90.7857,59.0,66,90,4.61
280,Saint-Pierre,RE,2021-04-17 20:40:06,-21.3393,55.4781,73.4,88,90,3.44
281,Vanavara,RU,2021-04-17 20:40:06,60.34,102.2797,4.35,96,35,4.76
282,Ati,TD,2021-04-17 20:40:06,13.2154,18.3353,86.23,7,14,11.14
